publication_view.author;publication_view.publication_title;publication_view.publication_year
Beck, D.;Das Mittelpaläolithikum des Hohlenstein - Stadel und Bärenhöhle - im Lonetal;1996;
Beck, M.;Die Steinartefakte aus dem Großen Schulerloch (Grabung Birkner 1915). Zur Rekonstruktion von Inventaren sowie zur Frage der kulturellen und chronologischen Einordnung eines alt gegrabenen Fundmaterials auf der Basis archäologischer Methoden;2006;
Bednarik, R.G.;A Figurine from the African Acheulian;2003;
Bednarik, R.G.;The 'Australopithecine' Cobble from Makapansgat, South Africa;1998;
Behm-Blancke, G.;Altsteinzeitliche Rastplätze im Travertingebiet von Taubach, Weimar, Ehringsdorf;1960;
Behre, K.-E.;Die Flora des Helgoländer Süßwasser-Töcks, eines Eem-Interglazials unter der Nordsee;1970;
Behre, K.-E.;Die chronologische Einordnung der paläolithischen Fundstellen von Schöningen;2012;
Behre, K.-E.;Pollen-und diatomeenanalytische Untersuchungen an letztinterglazialen Kieselgurlagern der Lüneburger Heide: Schwindebeck und Grevenhof im oberen Luhetal;1962;
Behre, K.-E., Lade, U.;Eine Folge von Eem und 4 Weichsel-Interstadialen in Oerel/Niedersachsen und ihr Vegetationsablauf;1986;
Behrensmeyer, A.K., Potts, R., Plummer, T., Tauxe, L., Opdyke, N., Jorstad, T.;The Pleistocene locality of Kanjera, Western Kenya: stratigraphy, chronology and paleoenvironments;1995;
Belayeva, V.I.;Pushkari I. Kharakteristika poseleniya [Pushkari I. Characteristics of the settlement];2000;
Belitzky, S.;The Evolution of Environment and Relief araound the Ohalo II Prehistoric Site;2002;
Bellomo, R.V.;Methods of determining early hominid behavioral activities associated with the controlled use of fire at FxJj 20 Main, Koobi Fora, Kenva;1994;
Belmaker, M.;Community Structure Through Time: Ubeidiya, a Lower Pleistocene Site as a Case Study;2006;
Belmarker, M., Thernov, E., Condemi, S., Bar-Yosef, O.;New evidence for hominid presence in the Lower Pleistocene of the Southern Levant;2002;
Belmiro, J., Bicho, N.F., Haws, J.A., Cascalheira, J.;The Gravettian-Solutrean transition in westernmost Iberia: New data from the sites of Vale Boi and Lapa do Picareiro;2021;
Belousova, N.E.;Stratigraphic and planigraphic context of early Upper Palaeolithic assemblages from Ust-Karakol-1 site (excavation of 1993-1997);2012;
Belousova, N.E., Rybin, E.P.;New Updates To Stratigraphic Partion of Early Upper Paleolithic Sequence of Kara-Bom Site (Spatial Analyzes and Refitting Studies);2013;
Belyaeva, V.I.;Arkheologicheskie aspekty klimaticheskikh izmenenii vtoroi poloviny vyurma [Archaeological aspects of climate change in the second half of Wurm];2015;
Belyaeva, V.I.;Palaeolithic site Pushkari 1;2002;
Belyaeva, V.I.;Pushkari I lithic industry;2002;
Bemilli, C., Bayles, G.;Aurignacian animal exploitation at Solutré (Saône-et-Loire, France);2009;
Benazzi, S.;Image analysis in the morphological and morphometric study of teeth;2007;
Benazzi, S., Bailey, S.E., Mallegni, F.;Brief communication: A morphometric analysis of the neandertal upper second molar leuca I;2013;
Benazzi, S., Bailey, S.E., Peresani, M., Mannino, M.A., Romandini, M., Richards, M.P., Hublin, J.-J.;Middle Paleolithic and Uluzzian human remains from Fumane Cave, Italy;2014;
Benazzi, S., Douka, K., Fornai, C., Bauer, C.C., Kullmer, O., Svoboda, J., Pap, I., Mallegni, F., Bayle, P., Coquerelle, M., Condemi, S., Ronchitelli, A., Harvati, K., Weber, G.W.;Early dispersal of modern humans in Europe and implications for Neanderthal behaviour;2011;
Benazzi, S., Peresani, M., Talamo, S., Fu, Q., Mannino, M.A., Richards, M.P., Hublin, J.-J.;A reassessment of the presumed Neandertal remains from San Bernardino Cave, Italy;2014;
Benazzi, S., Slon, V., Talamo, S., Negrino, F., Peresani, M., Bailey, S.E., Sawyer, S., Panetta, D., Vicino, G., Starnini, E., Mannino, M.A., Salvadori, P.A., Meyer, M., Pääbo, S., Hublin, J.-J.;The makers of the Protoaurignacian and implications for Neandertal extinction;2015;
Benazzi, S., Viola, B., Kullmer, O., Fiorenza, L., Harvati, K., Paul, T., Gruppioni, G., Weber, G.W., Mallegni, F.;A reassessment of the Neanderthal teeth from Taddeo cave (southern Italy);2011;
Benecke, N., Böhme, G., Heinrich, W.-D.;Wirbeltierreste aus interglazialen Beckensedimenten von Gröbern (Kr. Gräfenhainichen) und Grabschütz (Kr. Delitzsch);1990;
Benedetti, M.M., Haws, J.A., Bicho, N.F., Friedl, L., Ellwood, B.B.;Late Pleistocene site formation and paleoclimate at Lapa do Picareiro, Portugal;2019;
Benini, A., Boscato, P., Gambassini, P.;Grotta della Cala (Salerno): industrie litiche e faune uluzziane ed aurignaziane;1997;
Bennett, M.R., Harris, J.W.K., Richmond, B.G., Braun, D.R., Mbua, E., Kiura, P., Olago, D., Kibunjia, M., Omuombo, C., Behrensmeyer, A.K., Huddart, D., Gonzalez, S.;Early Hominin Foot Morphology Based on 1.5-Million-Year-Old Footprints from Ileret, Kenya;1978;
Benvenuti, M., Bahain, J.-J., Capalbo, C., Capretti, C., Ciani, F., D’Amico, C., Esu, D., Giachi, G., Giuliani, C., Gliozzi, E., Lazzeri, S., Macchioni, N., Lippi, M.M., Masini, F., Mazza, P.P.A., Pallecchi, P., Revedin, A., Savorelli, A., Spadi, M., Sozzi, L., Vietti, A., Voltaggio, M., Aranguren, B.;Paleoenvironmental context of the early Neanderthals of Poggetti Vecchi for the late middle Pleistocene of Central Italy;2017;
Beresford-Jones, D., Taylor, S., Paine, C., Pryor, A., Svoboda, J., Jones, M.;Rapid climate change in the Upper Palaeolithic: the record of charcoal conifer rings from the Gravettian site of Dolni Vestonice, Czech Republic;2011;
Bergadà, M.M.;Análisis micromorfológico de la secuencia sedimentaria de Cardina I (Salto do Boi, Vila Nova de Foz Côa, Portugal);2009;
Berger L.R., de Ruiter, D.J., Churchill, S.E., Schmid, P., Carlson,K.J., Dirks, P.H., Kibii, J.M.;Australopithecus sediba: A New Species of Homo-Like Australopith from South Africa;1978;
Berger, G.W., Pérez-González, A., Carbonell, E., Arsuaga, J.L., Bermúdez de Castro, J.M., Ku, T.L.;Luminescence chronology of cave sediments at the Atapuerca paleoanthropological site, Spain;2008;
Berger, L.R.;A Preliminary Estimate of the Age of the Gladysvale Australopithecine site;1993;
Berger, L.R., Hawks, J., Ruiter, D.J., Churchill, S.E., Schmid, P., Delezene, L.K., Kivell, T.L., Garvin, H.M., Williams, S.A., DeSilva, J.M., Skinner, M.M., Musiba, C.M., Cameron, N., Holliday, T.W., Harcourt-Smith, W., Ackermann, R.R., Bastir, M., Bogin, B., Bolter, D., Brophy, J., Cofran, Z.D., Congdon, K.A., Deane, A.S., Dembo, M., Drapeau, M., Elliott, M.C., Feuerriegel, E.M., Garcia-Martinez, D., Green, D.J., Gurtov, A., Irish, J.D., Kruger, A., Laird, M.F., Marchi, D., Meyer, M.R., Nalla, S., Negash, E.W., Orr, C.M., Radovcic, D., Schroeder, L., Scott, J.E., Throckmorton, Z., Tocheri, M.W., VanSickle, C., Walker, C.S., Wei, P., Zipfel, B.;Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa;2015;
Berger, L.R., Keyser, A.W., Tobias, P.V.;Gladysvale: First early hominid site discovered in South Africa since 1948;1993;
Berger, L.R., Lacruz, R.;Preliminary report on the first excavations at the new fossil site of Motsetse, Gauteng, South Africa;2003;
Berger, L.R., Menter, C.G., Thackeray, J.F.;The renewal of excavation activities at Kromdraai, South Africa;1994;
Berger, L.R., Parkington, J.E.;A new pleistocene hominid-bearing locality at Hoedjiespunt, South Africa;1995;
Berger, L.R., Tobias, P.V.;New discoveries at the early hominid site of Gladysvale, South Africa;1994;
Berger, L.R., de Ruiter, D.J., Steininger, C.M., Hancox, J.;Preliminary results of excavations at the newly investigated Coopers D deposit, Gauteng, South Africa;2003;
Bergman, A., Ohnuma, K.;The Upper Palaeolithic Sequence of Ksar Akil, Lebanon;1987;
Bergman, C., Copeland, L., Newcomer, M.H.;Ksar Akil, Lebanon: Levels XIII-VI, Vol. 2;1987;
Bergman, C.A.;Ksar Akil and the Upper Palaeolithic of the Levant;1988;
Bergner, A.G.N., Strecker, M.R., Trauth, M.H., Deino, A., Gasse, F., Blisniuk, P., Dühnforth, M.;Tectonic and climatic control on evolution of rift lakes in the Central Kenya Rift, East Africa;2009;
Bermudez de Castro, J.M., Arsuaga, J.L., Perez, P.J.;Interproximal grooving in the Atapuerca‐SH hominid dentitions;1997;
Bermúdez de Castro, J.M., Martinón-Torres, M., Blasco, R., Rosell, J., Carbonell, E.;Continuity or discontinuity in the European Early Pleistocene human settlement: the Atapuerca evidence;2013;
Bermúdez de Castro, J.M., Martínez, I., Gracia-Téllez, A., Martinón-Torres, M., Arsuaga, J.L.;The Sima de los Huesos Middle Pleistocene hominin site (Burgos, Spain). Estimation of the number of individuals;2021;
Bermúdez de Castro, J.M., Nicolás, M.a.E.;Palaeodemography of the Atapuerca-SH Middle Pleistocene hominid sample;1997;
Bermúdez de Castro, J.M., Rosas, A., Nicolás, M.E.;Dental remains from Atapuerca-TD6 (Gran Dolina site, Burgos, Spain);1999;
Berna, F., Goldberg, P.;Assessing Paleolithic pyrotechnology and associated hominin behavior in Israel;2007;
Berna, F., Goldberg, P., Horwitz, L.K., Brink, J., Holt, S., Bamford, M., Chazan, M.;Microstratigraphic evidence of in situ fire in the Acheulean strata of Wonderwerk Cave, Northern Cape province, South Africa;2012;
Bernaldo de Quirós, F., Maíllo-fernández, J.M., Neira, A.;The place of unit 18 of El Castillo Cave in the middle to upper palaolithic transition;2008;
Bernaldo de Quirós, F., Sánchez Fernández, G., Maillo-fernandez, J.M.;Technological Characteristics at the End of the Mousterian in Cantabria: the El Castillo and Cueva Morin (Spain);2010;
Bernard-Guelle, S., Rue, M., Fernandes, P., Coudenneau, A., Fedoroff, N., Courty, M.A., Séronie-Vivien, M., Séronie-vivien, M.-R., Dawson, M.-C., Picavet, R., Airvaux, J.;Comportements techniques et strategies de subsistance sur le site mousterien de plein air de Latrote (Saint-Gein, Landes);2014;
Bernard-Guelle, S., Rue, M., Fernandes, P., Courty, M.-A., Piboule, M., Coudenneau, A., Argant, J., Picavet, R., Dawson, M.-C.;Le site mousterien d'Andance (Saint-Bauzile, Ardeche): un habitat de hauteur en contexte basaltique dans la moyenne vallee du Rhone;2011;
Bernatchez, J.;The Role of Ochre in the Development of Modern Human Behaviour: A Case Study from South Africa;2013;
Bernatchez, J.A.;Geochemical characterization of archaeological ochre at Nelson Bay Cave (Western Cape Province), South Africa;2008;
Bernatchez, J.A.;Taphonomic implications of orientation of plotted finds from Pinnacle Point 13B (Mossel Bay, Western Cape Province, South Africa);2010;
Bertacchi, A., Starkovich, B.M., Conard, N.J.;The Zooarchaeology of Sirgenstein Cave: A Middle and Upper Paleolithic site in the Swabian Jura, SW Germany;2021;
Berthelet, A.;Barogali et l'Oued Doure. Deux gisements représentatifs du Paléolithique ancien en République de Djibouti;2002;
Berthelet, A., Boisaubert, J.L., Chavaillon, J.;Le Paléolithique en République de Djibouti: nouvelles recherches;1992;
Berthelet, A., Chavaillon, J.;Prehistoric archaeology, the site of Karre I. Karre I;2004;
Berthelet, A., Chavaillon, J.;The Early Palaeolithic butchery site of Barogali (Republic of Djibouti);2001;
Berto, C., Bertè, D., Luzi, E., López-García, J.M., Pereswiet-Soltan, A., Arzarello, M.;Small and large mammals from the Ciota Ciara cave (Borgosesia, Vercelli, Italy): an isotope stage 5 assemblage;2016;
Berto, C., Boscato, P., Boschin, F., Luzi, E., Ronchitelli, A.;Paleoenvironmental and paleoclimatic context during the Upper Palaeolithic (late Upper Pleistocene) in the Italian Peninsula. The small mammal record from Grotta Paglicci (Rignano Garganico, Foggia, Southern Italy);2017;
Bertran, P.;Dynamique des depots de la grotte Bourgeois-Delaunay (La Chaise-de-Vouthon, Charente): apport de la micromorphologie;1999;
Bertran, P., Texier, J.-P.;The Sedimentary Deposits of Combe-Capelle Bas and Their Implications for Site Formation and Paleoenvironment;1995;
Betzler, C., Ring, U.;Sedimentology of the Malawi Rift: Facies and stratigraphy of the Chiwondo Beds, northern Malawi;1995;
Beug, H.-J.;Die Bedeutung der interglazialen Ablagerungen von Zeifen und Eurach (Oberbayern, BRD) für die Vegetationsgeschichte der Eem-Warmzeit am Nordrand der Alpen;1973;
Beug, H.-J.;Vegetationsgeschichtlich-pollenanalytische Untersuchungen am Riss/Würm-Interglazial von Eurach am Starberger See/Obb;1979;
Beuning, K.R.M., Zimmerman, K.A., Ivory, S.J., Cohen, A.S.;Vegetation response to glacial-interglacial climate variability near Lake Malawi in the southern African tropics;2011;
Beyene, Y., Katoh, S., WoldeGabriel, G., Hart, W.K., Uto, K., Sudo, M., Kondo, M., Hyodo, M., Renne, P.R., Suwa, G., Asfaw, B.;The characteristics and chronology of the earliest Acheulean at Konso, Ethiopia;2013;
Beyene, Y., Zeleke, Y., Uzawa, K.;The Acheulean at Konso-Gardula: Results from locality KGA4-A2;1997;
Beyin, A.Y.;Archaeological Investigation of the Buri Peninsula and Gulf of Zula, Red Sea Coast of Eritrea;2009;
Biberson, P.;Etat des recherches sur le Pleistocène de l'Adrar mauritanien;1969;
Biberson, P.;Le Paleolithique inferieur du Maroc Atlantique;1961;
Biberson, P.;Le gisement de l'Atlanthrope de Sidi Abderrahman (Casablanca);1956;
Bicho, N.F., Cardoso, J.L.;Paleolithic occupations and Lithic Assemblages from Furninha Cave, Peniche (Portugal);2010;
Bicho, N.F., Gibaja, J.F., Stiner, M., Manne, T.;Le paléolithique supérieur au sud du Portugal: le site de Vale Boi;2010;
Bicho, N.F., Haws, J.A., Gibaja, J.F., Hockett, B.S.;Lapa do Picareiro, un asentamiento de caza magdaleniense en la Estremadura portuguesa;2009;
Bicho, N.F., Haws, J.A., Hockett, B.S.;Two sides of the same coin—rocks, bones and site function of Picareiro Cave, central Portugal;2006;
Bicho, N.F., Hockett, B.S., Haws, J.A., Belcher, W.;Hunter-gatherer subsistence at the end of the Pleistocene: Preliminary results from Picareiro Cave, Central Portugal;2000;
Bicho, N.F., Manne, T., Marreiros, J., Cascalheira, J., Pareira, T., Tátá, F., Évora, M., Gonçalves, C., Infantini, L.;The ecodynamics of the first modern humans in Southwestern Iberia: The case of Vale Boi, Portugal;2013;
Bicho, N.F., Simón-Vallejo, M.D., Cortés-Sánchez, M.;A Solutrean zoomorphic engraved plaquette from the site of Vale Boi, Portugal;2012;
Bicho, N.F., Stiner, M., Lindly, J., Ferring, C.R., Correia, J.;Preliminary Results from the Upper Paleolithic Site of Vale Boi, Southwestern Portugal;2003;
Biddittu, I., Cassoli, P.F., Radicati di Brozolo, F., Segre Naldini, E., Villa, I.;Anagni, a K-Ar dated Lower and Middle Pleistocene Site, Central Italy: Preliminary Report;1979;
Biddittu, I., Mallegni, F., Segre, A.G.;Riss age human remain, recovered from pleistocene deposits in Ponte Mammolo (Rome-Italy);1987;
Biddittu, I., Segre, A.G.;Utilizzazione dell'osso nel Paleolitico Inferiore italiano;1982;
Bietti, A.;A later Rissian deposit in Rome, Rebibbia-Casal de'Pazzi;1985;
Bietti, A.;The Upper Pleistocene deposit of the Arene Candide cave (Savona, Italy) new studies on the 1940-42 excavations;1994;
Bietti, A., Kuhn, S., Segre, A.G., Stiner, M.C.;Grotta Breuil: a general introduction and stratigraphy;1979;
Bigazzi, G., Balestrieri, M.L., Norelli, P., Oddone, M., Tewelde, M.T.;Fission-track dating of a tephra layer in the Alat Formation of the Dandiero Group (Danakil Depression, Eritrea);2004;
Bigga, G.;Untersuchung eines Tannen-Astes aus den eemzeitlichen Ablagerungen von Jänschwalde;2016;
Biglari, F., Heydari, S., Shidrang, S.;Ganj Par: the first evidence for lower Paleolithic occupation in the southern Caspian basin, Iran;2004;
Binder, D., Mouralis, D., Balkan-Atli, N., Gratuze, B.;New investigations of the Göllüdag obsidian lava flows system: a multidisciplinary approach;2011;
Binford, S.R.;Me'arat Shovakh (Mugharet esh-Shubbabiq);1966;
Binneman, J., Deacon, J.;Experimental determination of use wear on stone adzes from Boomplaas Cave, South Africa;1986;
Bird, M.I., Fifield, L.K., Santos, G.M., Beaumont, P.B., Zhou, Y., di Tada, M.L., Hausladen, P.A.;Radiocarbon dating from 40 to 60 ka BP at Border Cave, South Africa;2003;
Birkner, F.;Die eiszeitliche Besiedlung des Schulerloches und des unteren Altmühltales;1916;
Bischoff, J.L., Garcia, J.F., Straus, L.G.;Uranium-series isochron dating at El Castillo Cave (Cantabria, Spain): The “Acheulean”/“Mousterian” question;1992;
Bischoff, J.L., Rosenbauer, R.J., Tavoso, A., de Lumley, H.;A test of uranium-series dating of fossil tooth enamel: results from Tournal Cave, France;1988;
Bishop, L.C., Plummer, T.W., Ferraro, J.V., Braun, D., Ditchfield, P.W., Hertel, F., Kingston, J.D., Hicks, J., Potts, R.;Recent Research into Oldowan Hominin Activities at Kanjera South, Western Kenya;2006;
Bishop, W., Hill, A., Pickford, M.;Chesowanja: a revised geological interpretation;1978;
Bishop, W.W.;Geological framework of the Kilombe Acheulian archaeological site, Kenya;1978;
Bishop, W.W., Pickford, M., Hill, A.;New evidence regarding the Quaternary geology, archaeology and hominids of Chesowanja, Kenya;1975;
Bisi, F., Fontana, L., Proli, F., Peretto, C.;L'industria di Ca' Belvedere di Monte Poggiolo;1992;
Bisson, M.S., Tisnerat, N., White, R.;Radiocarbon Dates From the Upper Paleolithic of the Barma Grande;1996;
Björck, S., Noe-Nygaard, N., Wolin, J., Houmark-Nielsen, M., Jørgen Hansen, H., Snowball, I.;Eemian Lake development, hydrology and climate: a multi-stratigraphic study of the Hollerup site in Denmark;2000;
Black, C.C., Krishtalka, L.;Rodents, bats, and insectivores from the Plio-Pleistocene sediments to the east of lake Turkana, Kenya;1986;
Blackwell, B., Chu, S., Chaity, I., Huang, Y.E.W., Mihailović, D., Roksandic, M., Dimitrijević, V., Blickstein, J., Huang, A., Skinner, A.R.;ESR dating ungulate tooth enamel from the Mousterian layers at Pešturina, Serbia;2014;
Blackwell, B., Porat, N., Schwarcz, H.P., Debenath, A.;ESR dating of tooth enamel: comparison with 230Th234U speleothem dates at La Chaise-de-Vouthon (Charente), France;1992;
Blackwell, B., Schwarcz, H.-P.;Datation des speleothemes de la grotte Vaufrey par la famille de l'Uranium;1988;
Blackwell, B., Schwarcz, H.P., Debénath, A.;Absolute dating of hominids and palaeolithic artifacts of the cave of La Chaise-de-Vouthon (Charente), France;1983;
Blackwell, B.A., Skinner, A.R., Blickstein, J.I.B., Golovanova, L.V., Doronichev, V.B., Séronie-Vivien, M.R.;ESR dating at hominid and archaeological sites during the Pleistocene;2009;
Blackwell, B.A.B., Liang, S., Golovanova, L.V., Doronichev, V.B., Skinner, A.R., Blickstein, J.I.B.;ESR at Treugolnaya Cave, Northern Caucasus Mt., Russia: Dating Russia's oldest archaeological site and paleoclimatic change in oxygen isotope stage 11;2005;
Blackwell, B.A.B., Sakhrani, N., Singh, I.K., Gopalkrishna, K.K., Tourloukis, V., Panagopoulou, E., Karkanas, P., Blickstein, J.I.B., Skinner, A.R., Florentin, J.A., Harvati, K.;ESR Dating Ungulate Teeth and Molluscs from the Paleolithic Site Marathousa 1, Megalopolis Basin, Greece;2018;
Blackwell, B.A.B., Skinner, A.R., Blickstein, J.I.B., Lebel, S., Leung, H.Y.M.;ESR isochron dating analyses at Bau de l'Aubesier, Provence, France: Clues to U uptake in fossil teeth;2001;
Blain, H., Bailon, S.;Les amphibiens et les reptiles des couches du Pléistocène supérieur ancien du gisement d'Artenac (Charente, France);2003;
Blain, H.-A., Bailon, S., Agustí, J., Martínez-Navarro, B., Toro, I.;Paleoenvironmental and paleoclimatic proxies to the Early Pleistocene hominids of Barranco León D and Fuente Nueva 3 (Granada, Spain) by means of their amphibian and reptile assemblages;2011;
Blain, H.-A., Bailon, S., Cuenca-Bescós, G.;The Early-Middle Pleistocene palaeoenvironmental changebased on the squamate reptile and amphibian proxiesat the Gran Dolina site, Atapuerca, Spain;2008;
Blain, H.-A., Bailon, S., Cuenca-Bescós, G., Bennàsar, M., Rofes, J., López-García, J.M., Huguet, R., Arsuaga, J.L., Bermúdez de Castro, J.M., Carbonell, E.;Climate and environment of the earliest West European hominins inferred from amphibian and squamate reptile assemblages: Sima del Elefante Lower Red Unit, Atapuerca, Spain;2010;
Blain, H.-A., López-García, J.M., Cordy, J.-M., Pirson, S., Abrams, G., Di Modica, K., Bonjean, D.;Middle to Late Pleistocene herpetofauna from Scladina and Sous-Saint-Paul caves (Namur, Belgium);2014;
Blanc, A.C.;Grotta Romanelli I: stratigrafia dei depositi e natura e origine di essi;1920;
Blanc, A.C.;Industria musteriana su calcare e su valve di Meretrix chione associata con fossili di Elefante e Rinoceronte, in nuovi giacimenti costieri del Capo di Leuca;1958;
Blanc, A.C.;Nuovo giacimento paleolitico e mesolitico ai Balzi Rossi di Grimaldi;1938;
Blanc, A.C., Segre, A.G.;Excursion au Mont Circé;1953;
Blasco, M.F.;In the Pursuit of Game: The Mousterian Cave Site of Gabasa 1 in the Spanish Pyrenees;1997;
Blasco, R.;Human consumption of tortoises at level IV of Bolomor Cave (Valencia, Spain);2008;
Blasco, R., Peris, J.F.;A uniquely broad spectrum diet during the Middle Pleistocene at Bolomor Cave (Valencia, Spain);2012;
Blasco, R., Peris, J.F.;Middle Pleistocene bird consumption at level XI of Bolomor cave (Valencia, Spain);2009;
Blasco, R., Peris, J.F.;Small and large game: human use of diverse faunal resources at Level IV of Bolomor Cave (Valencia, Spain);2012;
Blasco, R., Peris, J.F., Rosell, J.;Several different strategies for obtaining animal resources in the late Middle Pleistocene: the case of level XII at Bolomor Cave (Valencia, Spain);2010;
Blasco, R., Rosell, J., Peris, J.F., Cáceres, I., Vergès, J.M.;A new element of trampling: an experimental application on the Level XII faunal record of Bolomor Cave (Valencia, Spain);2008;
Blasco, R., Rosell, J., van der Made, J., Rodríguez, J., Campeny, G., Arsuaga, J.L., de Castro, J.M.B., Carbonell, E.;Hiding to eat: the role of carnivores in the early Middle Pleistocene from the TD8 level of Gran Dolina (Sierra de Atapuerca, Burgos, Spain);2011;
Blaser, F., Kurtanjek, D., Paunovic, M.;L’industrie du site néandertalien de la grotte de Vindija (Croatie): une révision des matières premières lithiques;2002;
Blegen, N., Brown, F.H., Jicha, B.R., Binetti, K.M., Faith, J.T., Ferraro, J.V., Gathogo, P.N., Richardson, J.L., Tryon, C.A.;The Menengai Tuff: A 36 ka widespread tephra and its chronological relevance to Late Pleistocene human evolution in East Africa;2016;
Blegen, N., Faith, J.T., Mant-Melville, A., Peppe, D.J., Tryon, C.A.;The Middle Stone Age After 50,000 Years Ago: New Evidence From the Late Pleistocene Sediments of the Eastern Lake Victoria Basin, Western Kenya;2017;
Blegen, N., Tryon, C.A., Faith, J.T., Peppe, D.J., Beverly, E.J., Li, B., Jacobs, Z.;Distal tephras of the eastern Lake Victoria basin, equatorial East Africa: correlations, chronology and a context for early modern humans;2015;
Blinkhorn J.;A new synthesis of evidence for the Upper Pleistocene occupation of 16R Dune and its southern Asian context;2013;
Blinkhorn, J., Achyuthan, H., Petraglia, M., Ditchfield, P.;Middle Palaeolithic occupation in the Thar Desert during the Upper Pleistocene: the signature of a modern human exit out of Africa?;2013;
Blinkhorn, J., Achyuthan, H., Petraglia, M.D.;Ostrich expansion into India during the Late Pleistocene: Implications for continental dispersal corridors;2015;
Blinkhorn, J.A.;The Palaeolithic occupation of the Thar Desert;2012;
Blumenschine, R.J., Brandt, S.A., Clark, J.;Excavations and analysis of middle Palaeolithic artifacts from Patpara, Madhya Pradesh;1983;
Bluszcz, A.;Thermoluminescence Dating of Deposits from the Area of Bir Sahara East and Bir Tarfawi;1993;
Bluszcz, A., Hercman, H., Pazdur, A., Mieczyslav, P.;Radiometric dating;1992;
Boaz, N.T., Ciochon, R.L., Xu, Q., Liu, J.;Mapping and taphonomic analysis of the Homo erectus loci at Locality 1 Zhoukoudian, China;2004;
Boaz, N.T., Howell, F.C.;A gracile hominid cranium from Upper member G of the Shungura formation, Ethiopia;1977;
Bocherens, H., Billiou, D., Mariotti, A., Patou-Mathis, M., Otte, M., Bonjean, D., Toussaint, M.;Palaeoenvironmental and palaeodietary implications of isotopic biogeochemistry of last interglacial Neanderthal and mammal bones in Scladina Cave (Belgium);1999;
Bocherens, H., Drucker, D.G., Germonpré, M., Lázničková-Galetová, M., Naito, Y.I., Wissing, C., Brůžek, J., Oliva, M.;Reconstruction of the Gravettian food-web at Předmostí I using multi-isotopic tracking (13C, 15N, 34S) of bone collagen;2015;
Bock, W., Menke, B., Strehl, E., Ziemus, H.;Neuere Funde des Weichselspätglazials in Schleswig-Holstein;1985;
Bodu, P., Baillet, M., Ballinger, M., Dumarçay, G., Goutas, N., Julien, M.-A., Lacarrière, J., Legrand-Pineau, A., Lejay, M., Leroyer, M., Lucas, C., Moine, O., Naton, H.-G., Peschaux, C., Salomon, H., Stoetzel, E., Suire, J., Théry-Parisot, I., Touzé, O.;Le gisement paléolithique multistratifié "les Bossats" à Ormesson (Seine-et-Marne, France): palethnographie ou pâle ethnographie? Une synthèse des huit premières années de fouille (2009-2016);2019;
Bodu, P., Bignon, O., Dumarcay, G.;Le gisement des Bossats à Ormesson, région de Nemours (Seine-et-Marne): un site gravettien à faune dans le Bassin parisien;2011;
Bodu, P., Dumarçay, G., Naton, H.-G.;Un nouveau gisement solutréen en Île-de-France, le site des Bossats à Ormesson (Seine-et-Marne);2014;
Bodu, P., Salomon, H., Lacarrière, J., Baillet, M., Ballinger, M., Naton, H.-G., Théry-Parisot, I.;Un gisement châtelperronien de plein air dans le Bassin parisien: les Bossats à Ormesson (Seine-et-Marne);2017;
Bodu, P., Salomon, H., Leroyer, M., Naton, H.-G., Lacarrière, J., Dessoles, M.;An open-air site from the recent Middle Palaeolithic in the Paris Basin (France): Les Bossats at Ormesson (Seine-et-Marne);2014;
Boeda, E., Bonilauri, S.;The intermediate Paleolithic: the first bladelet production 40,000 years ago;2006;
Boeda, E., Bonilauri, S., Connan, J., Jarvie, D., Mercier, N., Tobey, M., Valladas, H., Sakhel, H.;New Evidence for Significant Use of Bitumen in Middle Palaeolithic Technical Systems at Umm el Tlel (Syria) around 70,000 BP;2008;
Boeda, E., Bonilauri, S., Connan, J., Jarvie, D., Mercier, N., Tobey, M., Valladas, H., Sakhel, H., Muhesen, S.;Middle Palaeolithic bitumen use at Umm el Tlel around 70,000 BP;2008;
Boeda, E., Bourguignon, L., Griggo, C.;Activités de subsistance au Paléolithique moyen: couche VI3b du gisement d'Umm el Tlel (Syrie);1998;
Boeda, E., Connan, J., Dessort, D., Muhesen, S., Mercier, N., Valladas, H., Tisnerat, N.;Bitumen as a hafting material on Middle Palaeolithic artefacts;1996;
Boeda, E., Connan, J., Muhesen, S.;Bitumen as hafting material on Middle Paleolithic artifacts from the El Kowm Basin, Syria;2002;
Boeda, E., Geneste, J.M., Griggo, C.;A Levallois point embedded in the vertebra of (Equus africanus): hafting, projectiles and Mousterian hunting weapons;1999;
Boeda, E., Griggo, C., Noel-Soriano, S.;Differents modes d'occupation du site d'Umm el Tlel au cours du Paleolithique moyen (El Kowm, Syrie centrale);2001;
Boeda, E., Kervazo, B., Mercier, N., Valladas, H.;Barbas C’3 base (Dordogne). Une industrie bifaciale contemporaine des industries du Mousterien ancien: une variabilite attendue;1996;
Boeda, E., Muhesen, S.;Umm el Tlel (El Kowm, Syrie): Etude preliminaire des industries lithiques du Paleolithique moyen et superieur 1991-1992;1993;
Boehm, G.;Die Fauna des Kelheimer Diceras-Kalkes. Zweite Abteilung: Bivalven;1882;
Boenigk, W., Frechen, M.;The loess record in sections at Koblenz–Metternich and Tönchesberg in the Middle Rhine Area;2001;
Boessneck, J.;Die jungpleistozänen Tierknochenfunde aus der Brillenhöhle;1973;
