publication_view.idpublication;publication_view.publication_year;publication_view.source_title;
1209;2010;HOMO - Journal of Comparative Human Biology;
1210;2006;Journal of Human Evolution;
1211;2007;Nature;
1212;2013;Science;
1213;2011;Chinese Science Bulletin;
1214;2013;Anthropological Science;
1215;2013;Quaternary International;
1217;1976;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
1218;2008;Journal of Human Evolution;
1219;2012;PaleoAnthropology;
1220;1998;Antiquity;
1221;2005;American Journal of Physical Anthropology;
1223;2009;Quaternaire;
1224;2010;Philosophical Transactions of the Royal Society B: Biological Sciences;
1225;2003;Journal of Archaeological Science;
1226;1976;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. I: The Avdat/Aqev Area, Part 1;
1227;1974;Paléorient;
1228;1976;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. I: The Avdat/Aqev Area, Part 1;
1229;1979;Catena;
1230;1983;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. III: The Avdat/Aqev Area, Part 3;
1231;1983;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. III: The Avdat/Aqev Area, Part 3;
1232;2003;More Than Meets the Eye: Studies on Upper Palaeolithic Diversity in the Near East;
1233;2009;Human Evolution;
1234;1967;Radiocarbon;
1235;2005;Journal of the Israel Prehistoric Society;
1236;1977;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. II: The Avdat/Aqev Area, Part 2;
1237;1983;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. III: The Avdat/Aqev Area, Part 3;
1238;1983;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. III: The Avdat/Aqev Area, Part 3;
1239;2007;Journal of Archaeological Science;
1240;1977;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. II: The Avdat/Aqev Area, Part 2;
1241;2008;Journal of the Israel Prehistoric Society;
1242;2009;Journal of the Israel Prehistoric Society;
1243;2003;Journal of Archaeological Science;
1244;2004;Journal of Archaeological Science;
1245;1979;Nature;
1246;1983;Prehistory and Paleoenvironments in the Central Negev, Israel, Vol. III: The Avdat/Aqev Area, Part 3;
1247;2009;Quaternary Geochronology;
1249;1994;Courier Forschungsinstitut Senckenberg;
1250;1996;Quaternary International;
1252;2001;Human Evolution;
1253;1981;Paléorient;
1254;2013;Archaeological and Anthropological Sciences;
1255;2002;Journal of Archaeological Science;
1257;2013;Quaternary International;
1258;2012;Journal of Human Evolution;
1260;1985;Quaternary Geology of the Hominid Fossil Bearing Formations in Java;
1261;2013;Quaternary International;
1262;2013;Quaternary International;
1263;2013;Quaternary International;
1264;2008;Journal of the Israel Prehistoric Society;
1265;2013;Quaternary International;
1266;2013;Quaternary International;
1267;2013;PLOS ONE;
1268;2013;Journal of Human Evolution;
1269;1999;Chinese Science Bulletin;
1270;1989;Eiszeitalter und Gegenwart;
1271;1986;The Acheulean of the Yiron Plateau, Israel;
1272;1974;Tirat-Carmel: A Mousterian Open-Air Site in Israel;
1273;2006;Comptes Rendus Palevol;
1274;1984;Courier Forschungsinstitut Senckenberg;
1275;1996;Journal of Human Evolution;
1276;2008;Current Anthropology;
1277;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1278;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1279;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1280;1994;Paléorient;
1281;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1282;1995;Journal of Archaeological Science;
1283;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1284;2006;Journal of Human Evolution;
1285;1999;Antiquity;
1286;2004;Nature;
1287;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1288;2003;Geoarchaeology;
1289;2002;Ohalo II: A 23,000-Year-Old Fisher-Hunter-Gatherers' Camp on the Shore of the Sea of Galilee;
1290;2001;Human Evolution;
1291;2004;Quaternary International;
1292;1982;1er Congrès international de la paléontologie humaine;
1293;2011;Journal of Human Evolution;
1294;2011;Proceedings of the National Academy of Sciences of the United States of America;
1295;2000;Chinese Geographical Science;
1296;2001;Human Evolution;
1297;1994;Comptes Rendus de l'Académie des Sciences, Serié II;
1298;1973;Journal of Human Evolution;
1299;1970;The Amud Man and His Cave Site;
1300;1955;The Journal of the Anthropological Institute of Great Britain and Ireland;
1301;1974;Paléorient;
1302;1974;Quartär;
1303;1980;Israel Journal of Earth Science;
1304;1927;Researches in Prehistoric Galilee 1925-1926;
1305;1988;Paléorient;
1306;1988;L'homme de Neandertal: Vol. 8, La mutation. Actes du Colloque International de Liege, 4-7 decembre 1986;
1307;2003;Anatolia Antiqua;
1308;1998;L'obsidienne au Proche et Moyen Orient: Du volcan à l'outil;
1309;1966;Israel Exploration Journal;
1310;1994;Quaternary Geochronology;
1312;2002;Evolutionary Anthropology;
1313;1995;L'Anthropologie;
1314;2002;Neandertals and Modern Humans in Western Asia;
1315;2007;L'Aurignacien du Zagros;
1316;1995;L'Anthropologie;
1317;1995;Journal of Anthropological Research;
1318;2011;L'Anthropologie;
1319;1994;Journal of Archaeological Science;
1320;2005;Anatolia Antiqua;
1321;2006;Anatolia Antiqua;
1322;2007;Anatolia Antiqua;
1323;2008;Aires d'approvisionnement en matières premières et aires d'approvisionnement en ressources alimentaires. Approche integrée des comportements;
1324;1987;Paléorient;
1325;1985;Paléorient;
1326;2000;L'Anthropologie;
1327;2011;Journal of Archaeological Science;
1328;2011;Journal of Archaeological Science;
1329;2004;Paléorient;
1330;2008;Journal of Human Evolution;
1331;2006;Near Eastern Archaeology;
1332;2004;Comptes Rendus Palevol;
1333;2009;Journal of Archaeological Science;
1334;2012;Quaternary International;
1335;1992;Current Anthropology;
1336;2007;Israel Journal of Earth Science;
1337;2009;The Sterkfontain Western Breccias: Stratigraphy, Fauna and Artefacts;
1338;2012;Proceedings of the National Academy of Sciences of the United States of America;
1339;2012;Unravelling the Palaeolithic: Ten Years of Research at the Centre for the Archaeology of Human Origins;
1340;2012;Proceedings of the National Academy of Sciences of the United States of America;
1344;2012;Modern Origins: A North African Perspective;
1349;1939;Palaeontologia Sinica;
1350;1939;Bulletin of the Peking Society of Natural History;
1351;1997;Bulletin of the Indo-Pacific Prehistory Association;
1352;1992;Acta Anthropologica Sinica;
1354;2003;Journal of Human Evolution;
1355;2003;Journal of Human Evolution;
1357;1978;Collected Papers of Paleoanthropology;
1358;1991;Wushan Hominid Site;
1359;2009;Acta Anthropologica Sinica;
1361;1989;Early Humankind in China;
1362;2009;Journal of Human Evolution;
1363;1951;Upper Cave Man;
1364;1972;Acta Archaelogica Sinica;
1365;1988;Journal of Human Evolution;
1366;1985;Multidisciplinary Study of the Peking Man Site at Zhoukoudian;
1367;2005;American Journal of Physical Anthropology;
1368;1984;Acta Anthropologica Sinica;
1369;1993;Acta Palaeontologica Sinica;
1370;1985;Multidisciplinary Study of the Peking Man Site at Zhoukoudian;
1371;1987;Yangjiagang, a Late Paleolithic Campsite in Harbin;
1372;1991;World Archaeology;
1373;1983;Acta Anthropologica Sinica;
1374;1961;Vertebrata PalAsiatica;
1375;1984;Acta Anthropologica Sinica;
1376;1975;Vertebrata PalAsiatica;
1377;1961;Scientia Sinica;
1378;1961;Vertebrata PalAsiatica;
1379;2011;American Journal of Physical Anthropology;
1381;1994;Catena;
1382;1988;Acta Anthropologica Sinica;
1383;1986;Acta Anthropologica Sinica;
1385;1961;Vertebrata PalAsiatica;
1386;1982;Acta Anthropologica Sinica;
1387;1982;Vertebrata PalAsiatica;
1389;1940;Palaeontologia Sinica;
1390;2007;Journal of Archaeological Science;
1391;1959;Science Record, New Series;
1392;1959;Vertebrata PalAsiatica;
1393;1984;Acta Anthropologica Sinica;
1394;1973;Vertebrata PalAsiatica;
1395;1987;Shiqian Yanjiu [Prehistory Research];
1396;2004;Bulletin of the Indo-Pacific Prehistory Association;
1397;1991;Bulletin of the Indo-Pacific Prehistory Association;
1398;1972;Acta Archaelogica Sinica;
1399;1984;Acta Anthropologica Sinica;
1400;1978;Vertebrata PalAsiatica;
1401;1982;Acta Anthropologica Sinica;
1402;1989;Acta Anthropologica Sinica;
1403;1984;Acta Anthropologica Sinica;
1404;1984;Acta Anthropologica Sinica;
1405;1957;Tzeyang Paleolithic Man;
1406;1987;Shiqian Yanjiu [Prehistory Research];
1408;1958;American Journal of Physical Anthropology;
1409;1957;Vertebrata PalAsiatica;
1410;1989;Late Homo sapiens of China;
1411;1962;Vertebrata PalAsiatica;
1412;1984;Journal of Nanjing University (Natural Science);
1413;1977;Vertebrata PalAsiatica;
1414;1982;Acta Anthropologica Sinica;
1415;1991;On Materials of Human Origin and Prehistoric Culture of Yunnan;
1416;1981;Vertebrata PalAsiatica;
1417;2013;Frühpleistozäne Vegetationsentwicklung im südlichen Kaukasus;
1418;2012;Nature;
1420;1997;The South African Archaeological Bulletin;
1421;2010;The South African Archaeological Bulletin;
1422;2011;Journal of Archaeological Science;
1423;2013;The South African Archaeological Bulletin;
1424;2013;Journal of Human Evolution;
1426;2007;Journal of Human Evolution;
1427;1983;Proceedings of the Koninklke Nederlandse Akademie van Wetenschappen, Series B: Palaeontology, geology, physics and chemistry;
1428;1995;Scripta Geologica;
1429;2013;Journal of Human Evolution;
1430;2006;Palaeogeography, Palaeoclimatology, Palaeoecology;
1431;2007;Journal of Human Evolution;
1432;1991;Bulletin of the Indo-Pacific Prehistory Association;
1433;2005;Journal of Human Evolution;
1434;2004;Current Anthropology;
1435;2012;Proceedings of the National Academy of Sciences of the United States of America;
1436;2004;Comptes Rendus Palevol;
1437;2007;Journal of Archaeological Science;
1438;2005;Journal of Human Evolution;
1439;2005;HOMO - Journal of Comparative Human Biology;
1440;2010;Journal of Human Evolution;
1441;1990;Journal of Human Evolution;
1442;1996;Proceedings of the National Academy of Sciences of the United States of America;
1443;2008;Quaternary Science Reviews;
1444;1956;American Journal of Physical Anthropology;
1445;2010;American Journal of Physical Anthropology;
1446;2008;Comptes Rendus Palevol;
1447;2004;Chinese Science Bulletin;
1448;2010;Radiocarbon;
1449;1991;Bulletin of the Indo-Pacific Prehistory Association;
1450;1989;Current Anthropology;
1451;2010;Proceedings of the National Academy of Sciences of the United States of America;
1452;2010;Quaternary International;
1453;2000;Journal of Human Evolution;
1454;2007;Proceedings of the National Academy of Sciences of the United States of America;
1455;1996;Journal of Human Evolution;
1456;2013;Journal of Human Evolution;
1457;2014;Quaternary International;
1458;2011;Journal of Human Evolution;
1459;1981;Bulletin of the National Science Museum, Series D, Anthropology;
1460;2009;Journal of Human Evolution;
1461;2005;Current Science;
1462;2012;Advances in Anthropology;
1463;2013;Quaternary International;
1464;1986;Asian Perspectives;
1465;2013;Archaeology, Ethnology and Anthropology of Eurasia;
1467;2001;American Journal of Physical Anthropology;
1468;2008;Journal of Human Evolution;
1469;2010;Journal of Archaeological Science;
1470;1971;Radiocarbon;
1471;2007;Nature;
1472;2009;Journal of Human Evolution;
1473;2014;Radiocarbon;
1474;2011;Archaeology, Ethnology and Anthropology of Eurasia;
1475;2013;Archaeology, Ethnology and Anthropology of Eurasia;
1476;2013;Archaeology, Ethnology and Anthropology of Eurasia;
1477;2014;PLOS ONE;
1478;2011;The Palaeolithic Origins of Human Burial;
1479;2006;Quaternary International;
1480;2000;Journal of Human Evolution;
1481;2009;Archaeology, Ethnology and Anthropology of Eurasia;
1482;2010;The Early Modern Human from Tianyuan Cave, China;
1484;1992;Journal of Human Evolution;
1485;1996;Journal of Human Evolution;
1486;2006;Journal of Human Evolution;
1487;1996;Journal of Archaeological Science;
1488;1999;Current Anthropology;
1489;2005;Applied Radiation and Isotopes;
1490;2010;Nature;
1491;2000;The Archaeology of the Wadi al-Hasa, West-Central Jordan, Vol. 2: Excavations at Middle, Upper, and Epipaleolithc Sites;
1492;2000;The Archaeology of the Wadi al-Hasa, West-Central Jordan, Vol. 2: Excavations at Middle, Upper, and Epipaleolithc Sites;
1493;2000;The Archaeology of the Wadi al-Hasa, West-Central Jordan, Vol. 2: Excavations at Middle, Upper, and Epipaleolithc Sites;
1494;2000;The Archaeology of the Wadi al-Hasa, West-Central Jordan, Vol. 2: Excavations at Middle, Upper, and Epipaleolithc Sites;
1495;2000;The Archaeology of the Wadi al-Hasa, West-Central Jordan, Vol. 2: Excavations at Middle, Upper, and Epipaleolithc Sites;
1496;1995;Prehistoric Cultural Ecology and Evolution - Insights from Southern Jordan;
1497;2002;Comptes Rendus Palevol;
1498;2005;L'Anthropologie;
1499;1989;Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz;
1500;2011;Proceedings of the National Academy of Sciences of the United States of America;
1501;2003;More Than Meets the Eye: Studies on Upper Palaeolithic Diversity in the Near East;
1502;2000;Science;
1503;2010;Quaternary Geochronology;
1504;1995;Prehistoric Cultural Ecology and Evolution - Insights from Southern Jordan;
1505;1995;Prehistoric Cultural Ecology and Evolution - Insights from Southern Jordan;
1506;2008;Der altpaläolithische Fundplatz Dmanisi (Georgien, Kaukasus). Archäologische Funde und Befunde des Liegenden Fundkomplexes im Kontext der frühen Menschheitsentwicklung;
1507;2014;Quaternary International;
1508;2003;More Than Meets the Eye: Studies on Upper Palaeolithic Diversity in the Near East;
1509;2004;Journal of Anthropological Archaeology;
1510;2009;Journal of Human Evolution;
1511;2000;The Archaeology of the Wadi al-Hasa, West-Central Jordan, Vol. 2: Excavations at Middle, Upper, and Epipaleolithc Sites;
1512;2011;Journal of Human Evolution;
1513;1995;Antiquity;
1514;1988;Paléorient;
1515;2012;Journal of Human Evolution;
1516;2007;L'Anthropologie;
1517;1995;Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz;
1518;2014;Quaternary International;
1519;2003;The Chronology of the Aurignacian and of the Transitional Technocomplexes: Dating, Stratigraphies, Cultural Implications;
1521;2006;Anthropologie;
1522;2008;Paléorient;
1523;2008;Antiquity;
1524;1998;Economie préhistorique: les comportements de subsistance au Paléolithique. XVIIIe Rencontres Internationales d‘Archéologie et d‘Histoire d‘Antibes. Actes des Rencontres, 23-24-25 octobre 1997;
1525;1996;Nature;
1526;2002;Neandertals and Modern Humans in Western Asia;
1527;1999;Antiquity;
1528;2001;Paléorient;
1529;1993;Cahiers de l'Euphrate;
1530;2007;Paléorient;
1531;2007;L'Anthropologie;
1532;1996;The Last Neandertals, The First Anatomically Modern Humans: A Tale about Human Diversity, Cultural Change and Human Evolution: The Crisis at 40 ka BP;
1533;1998;Préhistoire d'Anatolie: Genèse de deux mondes - Anatolian Prehistory: At the Crossroads of Two Worlds;
1534;1997;Paléorient;
1535;1999;Philosophical Transactions of the Royal Society B: Biological Sciences;
1536;2010;The Mousterian Sequence of Hummal (Syria);
1537;2011;Journal of Human Evolution;
1538;2013;Journal of Archaeological Science;
1539;2005;Munibe;
1540;2007;Geoarchaeology;
1541;2007;Le Paléolithique d'el Kowm (Syrie);
1542;2011;The Lower and Middle Palaeolithic in the Middle East and Neighbouring Regions;
1543;2011;L'Anthropologie;
1544;1995;Quaternary Science Reviews;
1545;1990;Paléorient;
1546;2013;Journal of Archaeological Science;
1547;1998;Paléorient;
1548;2003;Paléorient;
1549;2011;The Lower and Middle Palaeolithic in the Middle East and Neighbouring Regions;
1550;2011;The Lower and Middle Palaeolithic in the Middle East and Neighbouring Regions;
1551;2003;Journal of World Prehistory;
1552;1998;Préhistoire d'Anatolie: Genèse de deux mondes - Anatolian Prehistory: At the Crossroads of Two Worlds;
1553;2011;The Lower and Middle Palaeolithic in the Middle East and Neighbouring Regions;
1554;2011;The Lower and Middle Palaeolithic in the Middle East and Neighbouring Regions;
1555;2014;The Early Middle Palaeolithic Blade Industry from Hummal, Central Syria;
1556;2011;Science;
1557;1987;Ksar Akil, Lebanon: Vol. 2, Levels XIII-VI;
1558;2014;Quaternary Science Reviews;
1559;2003;Nature;
1560;2005;Eurasian Prehistory;
1561;1993;The Lithic Assemblages of Ubeidiya: A Lower Palaeolithic Site in the Jordan Valley;
1562;2006;Community Structure Through Time: Ubeidiya, a Lower Pleistocene Site as a Case Study;
1563;1987;Berytus;
1564;1986;Ksar Akil, Lebanon: Vol. 1, Technological and Typological Analysis of the Transitional and Upper Palaeolithic;
1565;2011;Journal of Archaeological Science;
1568;2010;Quaternary Geochronology;
1569;2014;Journal of Archaeological Science;
1570;2007;Journal of Human Evolution;
1571;2014;Quaternary International;
1572;2014;Quaternary International;
1573;2006;Journal of Human Evolution;
1574;1989;Investigations in South Levantine Prehistory;
1575;1990;The Emergence of Modern Humans: An Archaeological Perspective;
1576;2014;Quaternary International;
1577;2011;Journal of Human Evolution;
1578;1966;Archaeological Excavations at Ubeidiya 1960-1963;
1579;1981;Prehistoire du Levant;
1582;1996;Archaeometry;
1583;1965;Arctic Anthropology;
1584;1975;Paleoanthropology: Morphology and Paleoecology;
1585;2013;Radiocarbon;
1587;2011;PLOS ONE;
1588;1996;Journal of Archaeological Science;
1589;2000;Journal of Human Evolution;
1590;1969;Quartär;
1591;1955;The Journal of the Anthropological Institute of Great Britain and Ireland;
1592;1969;Neandertaler der Tschechoslovakei;
1593;2015;Journal of Human Evolution;
1594;2008;Journal of Human Evolution;
1595;2011;Quaternary Science Reviews;
1596;1987;Journal of Human Evolution;
1597;1971;Catalogue of Fossil Hominids. Part II, Europe;
1598;2014;The Dolni Vestonice Studies;
1599;1987;Journal of Human Evolution;
1600;2001;Journal of Archaeological Science;
1601;1997;Journal of Human Evolution;
1602;2000;Journal of Archaeological Science;
1603;2010;International Journal of Osteoarchaeology;
1604;2002;Late Middle Palaeolithic Patterns of Lithic Reduction, Mobility, and Land Use in the Southern Caucasus;
1605;2008;Journal of Human Evolution;
1606;2006;When Neanderthals and Modern Humans Met;
1607;2004;Settlement Dynamics of the Middle Palaeolithic and Middle Stone Age, Vol. II;
1608;2008;International Journal of Osteoarchaeology;
1609;2006;Anthropologie;
1610;2011;Antiquity;
1611;2008;PaleoAnthropology;
1612;2011;L'Anthropologie;
1613;2009;Science;
1614;2012;Journal of Archaeological Science;
1615;2002;L'Acheuléen du Caucase;
1616;1985;L'Anthropologie;
1617;2010;Paléorient;
1618;2013;Quaternary International;
1619;2000;L'Anthropologie;
1620;2014;PLOS ONE;
1622;2003;L'Anthropologie;
1623;1999;Préhistoire Européenne;
1624;2006;Paléorient;
1625;2012;Journal of Human Evolution;
1626;2007;Anthropologie;
1627;2006;The Anatomical Record;
1628;2004;Journal of Human Evolution;
1630;2008;Quartär;
1631;1995;Nature;
1632;1997;Journal of Human Evolution;
1633;2013;PLOS ONE;
1634;2011;Journal of Human Evolution;
1635;1978;The South African Archaeological Bulletin;
1636;1979;Catena;
1637;1999;Journal of Biogeography;
1638;1974;The South African Archaeological Bulletin;
1639;1976;Radiocarbon;
1640;1992;Journal of Archaeological Science;
1641;2003;Journal of World Prehistory;
1642;1997;Journal of Archaeological Science;
1643;1983;Goodwin Series;
1645;2004;The Early Upper Paleolithic Beyond Western Europe;
1646;2004;The Quartz Conundrum: Understanding the Role of Quartz in the Composition of Late Pleistocene and Holocene Lithic Assemblages from the Verlorenvlei Area, Western Cape;
1647;2006;Southern African Humanities;
1648;2008;Journal of Archaeological Science;
1650;2012;Journal of Archaeological Science;
1651;1991;The South African Archaeological Bulletin;
1652;1996;Journal of Archaeological Science;
1653;2007;South African Journal of Science;
1654;1995;Journal of Archaeological Science;
1655;2004;Current Anthropology;
1656;1983;Acta Archaeologica Academiae Scientiarum Hungaricae;
1657;1996;Annales Historico Naturales - Musei Nationalis Hungarici;
1658;1984;Journal of Archaeological Science;
1659;2006;Proceedings of the National Academy of Sciences of the United States of America;
1660;1967;Zeitschrift für Morphologie und Anthropologie;
1661;2007;Rethinking the Human Revolution: New Behavioural and Biological Perspectives on the Origin and Dispersal of Modern Humans;
1662;2008;Annales d'Université 'Valahia' Târgoviste, Section d'Archéologie et d'Histoire;
1663;2013;HOMO - Journal of Comparative Human Biology;
1664;2013;Journal of Human Evolution;
1666;2007;Current Anthropology;
1668;2010;Journal of the Israel Prehistoric Society;
1669;2014;Anthropologie;
1670;2015;PLOS ONE;
1671;2010;Journal of Human Evolution;
1672;2001;Human Evolution;
1673;2015;Nature Communications;
1674;1996;Journal of Human Evolution;
1675;1972;Transactions of the American Philosophical Society;
1676;1972;Transactions of the American Philosophical Society;
1677;2009;Radiocarbon;
1678;2001;Journal of Human Evolution;
1679;2004;HOMO - Journal of Comparative Human Biology;
1680;2006;Paléorient;
1681;2014;HOMO - Journal of Comparative Human Biology;
1682;2016;International Journal of Osteoarchaeology;
1683;2012;Eurasian Prehistory;
1684;2010;Naturwissenschaften - The Science of Nature;
1685;2005;Journal of Human Evolution;
1686;2012;Bulletin d'Archéologie Marocaine;
1687;1990;Altenburger Naturwissenschaftliche Forschungen;
1688;2012;Eiszeitalter und Gegenwart;
1689;1982;Jahresberichte und Mitteilungen des Oberrheinischen Geologischen Vereins, Neue Folge;
1690;2004;Science;
1691;2009;Archäologie im Rheinland;
1692;2008;Wissenschaftliche Mitteilungen aus dem Niederösterreichischen Landesmuseum;
1693;2006;Nature;
1694;2009;Quaternary International;
1695;2014;Quaternary International;
1696;2013;Hugo Obermaier Tagung;
1697;2008;Quartär;
1699;2011;Journal of Archaeological Science;
1700;2011;Eiszeitalter und Gegenwart;
1701;1988;Merkmalsanalyse mittelpaläolithischer Steinartefakte;
1702;2000;Journal of Archaeological Science;
1703;1996;Journal of Human Evolution;
1704;2008;Quaternary Geochronology;
1705;1990;Quaternary Research;
1706;1958;Jahresschrift für Mitteldeutsche Vorgeschichte;
1707;2013;Journal of Human Evolution;
1708;1990;Altenburger Naturwissenschaftliche Forschungen;
1709;1993;Archäologisches Korrespondenzblatt;
1710;1998;Die Funde aus dem Travertin von Stuttgart-Untertuerkheim und die Archaeologie der letzten Warmzeit in Mitteleuropa;
1711;1983;American Journal of Physical Anthropology;
1712;1988;American Journal of Physical Anthropology;
1713;2001;Journal of Human Evolution;
1714;2010;Journal of Human Evolution;
1715;2001;Proceedings of the National Academy of Sciences of the United States of America;
1716;2009;Earth and Planetary Science Letters;
1717;2011;Quaternary Geochronology;
1718;2003;Antiquity;
1719;2013;Quaternary International;
1720;1984;Current Anthropology;
1721;2010;Quaternary International;
1722;2001;Earliest Italy: An Overview of the Italian Paleolithic and Mesolithic;
1723;1998;Quaternary International;
1725;2012;Quaternary International;
1726;2014;Journal of Human Evolution;
1727;2012;Comptes Rendus Palevol;
1728;2005;Journal of Archaeological Science;
1729;2012;Quaternary International;
1730;2012;Quaternary International;
1731;2008;Journal of Archaeological Science;
1732;1971;Nature;
1733;2011;Journal of Human Evolution;
1734;1995;Zeitschrift für Morphologie und Anthropologie;
1735;1997;Journal of Human Evolution;
1736;1995;Current Anthropology;
1737;2015;Quaternary International;
1738;1991;Current Anthropology;
1739;2012;Quaternary International;
1740;1991;Current Anthropology;
1741;1983;Journal of Human Evolution;
1742;1987;American Journal of Physical Anthropology;
1743;2009;Bonner Jahrbücher;
1744;1999;British School at Athens Studies;
1745;2004;Antiquity;
1746;2010;Quaternary International;
1747;2014;Quaternary International;
1748;1997;Geoarchaeology;
1749;2014;Paleolithic Landscapes of Iran;
1750;2014;Barda Balka;
1751;2010;Culture and Biology at a Crossroads: The Middle Pleistocene Record of Yarimburgaz Cave (Thrace, Turkey);
1752;2006;Iranian Center for Archaeological Research, Archaeological Reports;
1754;2009;L'Anthropologie;
1755;2012;Anthropologie;
1756;2014;Quaternary International;
1757;1995;Paléorient;
1758;2014;L'Anthropologie;
1759;1955;Sumer;
1760;1964;Report of the VIth International Congress on Quaternary, Warsaw, 1961, Vol. IV: Archaeological and Anthropological Section;
1761;1971;Shanidar, the First Flower People;
1762;1987;Zeitschrift für Morphologie und Anthropologie;
1763;1996;Current Anthropology;
1765;1997;International Journal of Osteoarchaeology;
1766;1990;Journal of Human Evolution;
1767;2013;Canadian Journal of Archaeology;
1768;2010;American Journal of Physical Anthropology;
1769;2004;Current Anthropology;
1770;2012;Journal of Human Evolution;
1771;1996;Antiquity;
1772;2012;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
1773;2007;Current Anthropology;
1774;2012;International Journal of Osteoarchaeology;
1775;2014;The People of Sunghir: Burials, Bodies, and Behavior in the Earlier Upper Paleolithic;
1776;1999;Journal of Archaeological Science;
1777;2010;Journal of Human Evolution;
1778;2012;Quaternary International;
1779;2009;American Journal of Physical Anthropology;
1781;1998;Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science;
1782;2004;Anthropologica et Praehistorica;
1783;2008;La grotte de Santa Maria di Agnano (Ostuni) et ses abords: à propos des critères: identification d'un sanctuaire messapien;
1784;1985;L'Anthropologie;
1785;1999;British School at Athens Studies;
1786;1989;Rivista di Antropologia;
1787;1996;Journal of Human Evolution;
1788;2013;Journal of Human Evolution;
1789;2003;Journal of Human Evolution;
1790;1981;Nature;
1791;1967;L'Anthropologie;
1792;2004;Journal of Field Archaeology;
1793;1987;Archaeometry;
1794;1968;Rivista di Antropologia;
1795;2015;PLOS ONE;
1796;1971;Archaeology;
1797;1989;Palaeogeography, Palaeoclimatology, Palaeoecology;
1798;1975;Quartär;
1799;1979;Journal of Archaeological Science;
1800;1993;Rivista di Antropologia;
1801;2013;American Journal of Physical Anthropology;
1802;1985;Ancestors: The Hard Evidence;
1803;1967;Rivista di Scienze Preistoriche;
1804;1989;American Journal of Physical Anthropology;
1805;2005;Quaternary International;
1807;2001;Radiocarbon;
1808;1999;Journal of Human Evolution;
1809;2011;Journal of Human Evolution;
1810;2001;Geoarchaeology;
1811;2000;Theopetra Cave: Twelve Years of Excavation and Research, 1987-1998;
1812;2013;Radiocarbon;
1814;1999;Annals of Anatomy - Anatomischer Anzeiger;
1815;2007;Quaternary Geochronology;
1816;1989;Journal of Human Evolution;
1817;2007;Journal of Human Evolution;
1818;2008;Journal of Archaeological Science;
1819;2009;Journal of Archaeological Science;
1820;2012;Comptes Rendus Palevol;
1821;2012;Quaternary International;
1822;2010;Comptes Rendus Palevol;
1823;2008;Journal of Archaeological Science;
1824;2012;Palaeogeography, Palaeoclimatology, Palaeoecology;
1825;2005;Les Premiers Peuplements en Europe;
1826;2010;Journal of Human Evolution;
1827;2005;Journal of Human Evolution;
1828;1965;Bulletin de l'Association Française pour l'Etude du Quaternaire;
1829;2010;Archaeometry;
1830;1986;American Journal of Physical Anthropology;
1831;1996;Quaternaire;
1832;2014;Journal of Human Evolution;
1833;2014;Quaternary International;
1834;2006;Journal of Human Evolution;
1835;1995;Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science;
1836;1991;Journal of Archaeological Science;
1837;1993;Journal of Human Evolution;
1838;2012;Annals of Anatomy - Anatomischer Anzeiger;
1839;2015;Nature;
1840;2008;Journal of Human Evolution;
1841;1916;Archaeologia;
1843;1910;Man;
1844;2012;Quaternary International;
1845;2015;Quaternary Science Reviews;
1846;2012;Unravelling the Palaeolithic: Ten Years of Research at the Centre for the Archaeology of Human Origins;
1847;1987;Earth Surface Processes and Landforms;
1848;2008;Comptes Rendus Palevol;
1849;2004;Quaternary Science Reviews;
1850;2013;Comptes Rendus Palevol;
1851;2015;Quaternary International;
1852;2011;Proceedings of the 36th CAA Conference;
1853;2014;Antiquity;
1854;1980;World Archaeology;
1855;2015;Journal of Human Evolution;
1856;2010;E&G Quaternary Science Journal;
1857;1997;Journal of Human Evolution;
1858;2012;Quaternary International;
1859;1997;Journal of Anthropological Research;
1860;1998;Review of Palaeobotany and Palynology;
1861;1992;Review of Palaeobotany and Palynology;
