assemblage.name;assemblage.category;country_continent.continent;locality.idlocality;locality.x;locality.y
Gorgora Rock Shelter Level 10 Archaeological Assemblage;raw material, typology, technology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 11 Archaeological Assemblage;raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 12 Archaeological Assemblage;raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 3 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 4 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 5 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 6 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 7 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 8 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Gorgora Rock Shelter Level 9 Archaeological Assemblage;raw material, technology, typology;Africa;Gorgora Rock Shelter;37.28;12.24;
Grh-1/a;plant remains;Asia;Gorhayk-1;45.820241;39.65916;
Grh-2/a;plant remains;Asia;Gorhayk-2;45.806665;39.671932;
Aurignacian assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 3;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 4;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 5;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 6;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 human remains 7;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 or 3 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 or 3 human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 or 3 human remains 3;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1 or 3 human remains 4;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1, 2 or 3 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1, 2, 3 or 4 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 1? human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 fauna Q53;animal remains, paleofauna;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 3;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 4;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 5;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 6;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 7;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 human remains 8;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 or 3 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2 or 3 human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 2? human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 fauna Q375;animal remains, paleofauna;Europe;Goyet;5.0092;50.4471;
Goyet level 3 fauna Q376;animal remains, paleofauna;Europe;Goyet;5.0092;50.4471;
Goyet level 3 fauna Q55;animal remains, paleofauna;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 10;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 11;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 12;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 13;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 14;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 15;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 16;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 17;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 18;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 19;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 20;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 21;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 22;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 23;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 24;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 25;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 26;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 27;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 28;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 29;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 3;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 30;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 31;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 32;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 33;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 34;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 35;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 36;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 37;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 38;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 39;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 4;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 40;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 41;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 42;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 43;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 44;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 45;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 46;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 47;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 48;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 49;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 5;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 50;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 51;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 52;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 53;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 54;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 55;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 56;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 57;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 58;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 59;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 6;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 60;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 61;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 62;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 63;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 64;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 65;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 66;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 67;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 68;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 69;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 7;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 70;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 71;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 72;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 73;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 74;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 75;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 76;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 8;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3 human remains 9;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3? human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3? human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3? human remains 3;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3? human remains 4;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3? human remains 5;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 3? human remains 6;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 1;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 10;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 2;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 3;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 4;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 5;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 6;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 7;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 8;human remains;Europe;Goyet;5.0092;50.4471;
Goyet level 4? human remains 9;human remains;Europe;Goyet;5.0092;50.4471;
Magdalenian assemblage;organic tools, raw material, technology, typology;Europe;Goyet;5.0092;50.4471;
Mousterian assemblage;raw material, technology, typology;Europe;Goyet;5.0092;50.4471;
Grabschütz Limnic Sediment Sequence Archaeological Assemblage;raw material, technology, typology;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence flora sample 1 - 3;plant remains;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence flora sample 16;plant remains;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence flora sample 17 - 18;plant remains;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence flora sample 4 - 8;plant remains;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence flora sample 9 - 15;plant remains;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 1;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 10;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 10a;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 11;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 12;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 13;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 14;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 15;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 2;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 3;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 4;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 5;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 5a;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 6;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 7;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 8;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence mollusc fauna sample 9;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 1;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 10;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 11;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 12;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 2;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 3;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 4;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 5;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 6;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 7;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 8;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence ostracod fauna sample 9;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence vertebrate fauna 1;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Limnic Sediment Sequence vertebrate fauna 2;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz Sandy Deposits vertebrate fauna;paleofauna;Europe;Grabschütz;12.2816;51.481261;
Grabschütz_PM;plant remains;Europe;Grabschütz;12.2816;51.481261;
Gran Dolina TD 10, Herpetofauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 10, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 11, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 3, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 4, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 5, Herpetofauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 5, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 6, Fauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 6, Herpetofauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 6, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 7, Herpetofauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 7, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 8;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 8a, Herpetofauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 8a, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 8b, Herpetofauna;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD 8b, Micromammals;paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina TD6, Avifauna;animal remains, paleofauna;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-112, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-117, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-124, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-15, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-16, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-17, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-18, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-19, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-20, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-22, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-23, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-24, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-25, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-26, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-27, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-28, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-29, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-30, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-31, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-32, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-33, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-34, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-35, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-36, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-38, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-43, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-44, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-46, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-48, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-50, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-52, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-53, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-56, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-57, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-58, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-59, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-67, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-68, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-70+107, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-77, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-82, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-84, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-89, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-92, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, ATD6-95, human remains;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Climate;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 1;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 10;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 2;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 3;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 4;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 5;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 6;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Gran Dolina, Hominid 7;human remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Lower TD10.1 assemblage;organic tools, raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample 1, TD6;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample 1, TD7;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample 2, TD6;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample 2, TD7;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample 3, TD6;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample 4, TD6;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample, TD10;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
Pollen sample, TD8a;plant remains;Europe;Gran Dolina;-3.5197611;42.3514444;
TD10.2 lithic assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
TD3-4 lithic assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
TD6.1 lithic assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
TD6.2 lithic assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
TD6.3 lithic assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
Upper TD10.1-A assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
Upper TD10.1-B assemblage;raw material, technology, typology;Europe;Gran Dolina;-3.5197611;42.3514444;
GAP Breccia Flora Assemblage;plant remains;Europe;Grand Abri aux Puces;5.13;44.22;
GAP Level 2 Flora Assemblage;plant remains;Europe;Grand Abri aux Puces;5.13;44.22;
GAP Surface Flora Assemblage;plant remains;Europe;Grand Abri aux Puces;5.13;44.22;
GAP layer 1 malacofauna;paleofauna;Europe;Grand Abri aux Puces;5.13;44.22;
GAP layer 1 microfauna;paleofauna;Europe;Grand Abri aux Puces;5.13;44.22;
GAP layer 2 malacofauna;paleofauna;Europe;Grand Abri aux Puces;5.13;44.22;
GAP layer 2 microfauna;paleofauna;Europe;Grand Abri aux Puces;5.13;44.22;
GAP macrofauna;animal remains, paleofauna;Europe;Grand Abri aux Puces;5.13;44.22;
Layer 2 Artifacts;animal remains, raw material, technology, typology;Europe;Grand Abri aux Puces;5.13;44.22;
Grassridge Rockshelter GS-KGS Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Grassridge Rockshelter;26.852222;-31.57;
Évangile 3 occupation Lithics;raw material, technology, typology;Europe;Gron - Chemin de l_Évangile 3;3.27456;48.156216;
Fond des Blanchards Lithics Layer C;raw material, technology, typology;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Fond des Blanchards Lithics Layer D1;raw material, technology, typology;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Fond des Blanchards Lithics Layer D2;technology, typology;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Fond des Blanchards Lithics Layer D3;raw material, technology, typology;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Fond des Blanchards Lithics Layer DB;technology, typology;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Fond des Blanchards Lithics Layer Da;raw material, technology, typology;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Gron - Fond des Blanchards Level D2 Fauna;animal remains, paleofauna;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Gron - Fond des Blanchards Level D3 Fauna;animal remains, paleofauna;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
Gron - Fond des Blanchards Level Da Fauna;animal remains, paleofauna;Europe;Gron - Fond des Blanchards;3.281965;48.15096;
GK-B ESA lithic;raw material, technology, typology;Africa;Groot Kloof;24.65;-27.15;
GK-B MSA lithic;raw material, technology, typology;Africa;Groot Kloof;24.65;-27.15;
GGSA IIIa, sample 2;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA IIIb, sample 1;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA IIa, sample 6;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA IIb, sample 3;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA IIb, sample 4;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA IIb, sample 5;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA Ia, sample 10;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA Ia, sample 8;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA Ia, sample 9;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA Ib, sample 7;plant remains;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA, Unit D, cut 10-11, Fauna;paleofauna;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA, Unit D, cut 10-11, micromammals;paleofauna;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA, Unit D, cut 12, Fauna;paleofauna;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA, Unit D, cut 12, micromammals;paleofauna;Europe;Grotta Grande of Scario;15.35;40.0221;
GGSA, Unit D, cut 13, Fauna;paleofauna;Europe;Grotta Grande of Scario;15.35;40.0221;
